,number providers,state_id,state
102,5,AL,Alabama
103,3,AK,Alaska
104,9,AZ,Arizona
105,3,AR,Arkansas
106,152,CA,California
107,21,CO,Colorado
108,25,CT,Connecticut
109,3,DE,Delaware
110,5,DC,District of Columbia
111,71,FL,Florida
112,17,GA,Georgia
113,4,HI,Hawaii
114,3,ID,Idaho
115,24,IL,Illinois
116,9,IN,Indiana
117,12,IA,Iowa
118,4,KS,Kansas
119,2,KY,Kentucky
120,5,LA,Louisiana
121,4,ME,Maine
122,25,MD,Maryland
123,14,MA,Massachusetts
124,20,MI,Michigan
125,6,MN,Minnesota
126,1,MS,Mississippi
127,1,MO,Missouri
128,5,MT,Montana
129,3,NE,Nebraska
130,8,NV,Nevada
131,4,NH,New Hampshire
132,41,NJ,New Jersey
133,9,NM,New Mexico
134,95,NY,New York
135,16,NC,North Carolina
136,1,ND,North Dakota
137,12,OH,Ohio
138,3,OK,Oklahoma
139,15,OR,Oregon
140,20,PA,Pennsylvania
141,3,RI,Rhode Island
142,3,SC,South Carolina
143,1,SD,South Dakota
144,7,TN,Tennessee
145,28,TX,Texas
146,2,UT,Utah
147,6,VT,Vermont
148,18,VA,Virginia
149,33,WA,Washington
150,2,WV,West Virginia
151,4,WI,Wisconsin
152,1,WY,Wyoming
