,number abortions,state_id,state
51,8020.0,AL,Alabama
52,1470.0,AK,Alaska
53,12870.0,AZ,Arizona
54,4590.0,AR,Arkansas
55,157350.0,CA,California
56,13160.0,CO,Colorado
57,13140.0,CT,Connecticut
58,3010.0,DE,Delaware
59,5820.0,DC,District of Columbia
60,75990.0,FL,Florida
61,33000.0,GA,Georgia
62,3760.0,HI,Hawaii
63,1320.0,ID,Idaho
64,42270.0,IL,Illinois
65,8180.0,IN,Indiana
66,4380.0,IA,Iowa
67,7240.0,KS,Kansas
68,3530.0,KY,Kentucky
69,10150.0,LA,Louisiana
70,2220.0,ME,Maine
71,28140.0,MD,Maryland
72,21020.0,MA,Massachusetts
73,29120.0,MI,Michigan
74,9760.0,MN,Minnesota
75,2290.0,MS,Mississippi
76,5130.0,MO,Missouri
77,1690.0,MT,Montana
78,2280.0,NE,Nebraska
79,10970.0,NV,Nevada
80,2540.0,NH,New Hampshire
81,44460.0,NJ,New Jersey
82,4650.0,NM,New Mexico
83,119940.0,NY,New York
84,29960.0,NC,North Carolina
85,1260.0,ND,North Dakota
86,22730.0,OH,Ohio
87,5330.0,OK,Oklahoma
88,9330.0,OR,Oregon
89,32030.0,PA,Pennsylvania
90,3580.0,RI,Rhode Island
91,6040.0,SC,South Carolina
92,550.0,SD,South Dakota
93,13880.0,TN,Tennessee
94,55230.0,TX,Texas
95,2960.0,UT,Utah
96,1400.0,VT,Vermont
97,21080.0,VA,Virginia
98,19230.0,WA,Washington
99,2020.0,WV,West Virginia
100,6050.0,WI,Wisconsin
101,120.0,WY,Wyoming
