,state,parental_consent
0,United States,37 Yes
1,Alabama,Consent enforced
2,Alaska,Notification enjoined or not enforced
3,Arizona,Consent enforced
4,Arkansas,Consent enforced
5,California,Consent enjoined or not enforced
6,Colorado,Notification enforced
7,Connecticut,No Law
8,Delaware,Notification enforced
9,District of Columbia,No Law
10,Florida,Notification enforced
11,Georgia,Notification enforced
12,Hawaii,No Law
13,Idaho,Consent enforced
14,Illinois,Notification enforced
15,Indiana,Consent enforced
16,Iowa,Notification enforced
17,Kansas,Consent enforced
18,Kentucky,Consent enforced
19,Louisiana,Consent enforced
20,Maine,No Law
21,Maryland,Notification enforced
22,Massachusetts,Consent enforced
23,Michigan,Consent enforced
24,Minnesota,Notification enforced
25,Mississippi,Consent enforced
26,Missouri,Consent enforced
27,Montana,Consent and notification temporarily enjoined
28,Nebraska,Consent enforced
29,Nevada,Notification enjoined or not enforced
30,New Hampshire,Notification enforced
31,New Jersey,Notification enjoined or not enforced
32,New Mexico,Consent enjoined or not enforced
33,New York,No Law
34,North Carolina,Consent enforced
35,North Dakota,Consent enforced
36,Ohio,Consent enforced
37,Oklahoma,Notification and consent enforced
38,Oregon,No Law
39,Pennsylvania,Consent enforced
40,Rhode Island,Consent enforced
41,South Carolina,Consent enforced
42,South Dakota,Notification enforced
43,Tennessee,Consent enforced
44,Texas,Notification and consent enforced
45,Utah,Notification and consent enforced
46,Vermont,No Law
47,Virginia,Notification and consent enforced
48,Washington,No Law
49,West Virginia,Notification enforced
50,Wisconsin,Consent enforced
51,Wyoming,Notification and consent enforced
